code,text,link
title,Explorateur des données législatives ouvertes,
under_map,Cliquez sur un pays pour explorer les données disponibles ou pour contribuer là où les données ne sont pas encore disponibles. Les données sont disponibles pour les pays de couleur jaune.,
under_categories,Cliquez sur un sujet pour afficher une comparaison globale et les meilleures pratiques dans ce domaine.,
explore,Explorer,
explore_description,Filtrer les données par chambre ou sujet pour créer des tables uniques et des cartes.,
download,Télécharger,
download_description,"Télécharger toutes les données en CSV ou XLS pour créer votre propre analyse, visualisation ou comparaison.",
contribute,Contribuer,
contribute_description,Ajouter des données pour une chambre du Parlement manquante ou suggérer des modifications aux données.,
